Adjusted Potential (V),Adjusted Relative Capacity (mAh/g),Frequency (Hz),Zre (ohms),Zim (ohms),Type,Cycle
3.3,127.91,1.26,247.68,-26.45,1,1
3.3,127.91,1.0,252.03,-28.25,1,1
3.3,127.91,0.79,256.5,-29.99,1,1
3.3,127.91,0.63,261.25,-31.37,1,1
3.3,127.91,0.5,266.29,-32.57,1,1
3.3,127.91,0.4,271.54,-33.34,1,1
3.3,127.91,0.32,276.64,-33.93,1,1
3.3,127.91,0.25,281.96,-34.01,1,1
3.3,127.91,0.2,286.95,-33.79,1,1
3.3,127.91,0.16,291.75,-33.44,1,1
3.3,127.91,0.13,296.45,-32.87,1,1
3.3,127.91,0.1,300.65,-32.47,1,1
3.4,153.41,100000.0,190.29,22.32,1,1
3.4,153.41,79432.82,191.4,16.6,1,1
3.4,153.41,63095.74,192.02,12.6,1,1
3.4,153.41,50118.72,191.6,8.94,1,1
